Country Name,Country Code,Series Name,Series Code,1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
United Kingdom,GBR,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,146071955345.42,136167525551.713,127520175822.223,121032829158.069,121915855956.927,132167965057.85,143500226783.008,174723938754.525,191399431602.392,198823599319.614,239226146127.677,239783075392.638,253593269083.67,245689726109.843,277113222738.51,322113920529.837,351830680358.616,383179008313.104,384318772481.818,403620941170.76,419615623461.313,415831432818.134,434298666256.497,492601722262.162,577242430278.287,637110863372.617,741149651354.045,787831117345.957,802588844949.431,641736134057.788,702682374259.815,821692637716.761,814029553083.577,834894356943.204,867942957024.569,803702967162.027,768777983492.703,812042164028.351,884875112832.227,892632249001.979,782997935650.197,859699662009.153
United Kingdom,GBR,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,134199980471.698,121504048749.986,119045606921.29,117609621941.46,123429168618.769,127773686061.481,148459975356.511,182816319922.109,221748457517.549,233450967160.968,264089496227.655,250673137271.239,267221276930.967,255267363445.196,284094053880.571,327000442782.06,355493451390.14,380280930255.114,396149382091.993,427675468092.999,446919565074.556,450166421547.739,481385135241.667,538520576572.444,638720424669.198,696935184715.828,796968111642.258,851353714600.291,865736889761.966,677873732686.806,749615040836.084,848665958245.664,847530962578.45,871792168090.178,922197615668.512,849567795139.227,813248694189.946,846073592217.945,922590737284.524,919145876493.897,776091582593.868,899628695190.957
South Africa,ZAF,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,28501651956.2234,23621057036.358,20081946595.1331,20979586793.132,19302453655.9364,18030792412.1542,19959939848.3875,25978095715.3321,26798100048.2563,25591574580.9092,27160238991.0116,26126023104.4514,27893270926.0938,29294867480.1148,30001242104.1358,34402137132.153,35495118245.5534,36561083234.6058,34594731512.5752,33743869641.6984,36995346355.1396,35908902855.2168,36882385813.7096,47358893128.4732,58436025841.5874,68089718597.9658,78999267955.2245,93316159614.4785,102840415596.341,83531696820.7001,107953656098.772,126935038374.302,117934929474.945,113644229416.438,110444934431.209,96346520856.1961,91482650746.4622,104172007272.968,111227888084.404,105998218993.647,94116511044.8349,130812111982.456
South Africa,ZAF,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,22143223376.0554,25124726524.4753,20496454037.619,17747389642.9781,18004917183.8526,12996665570.1806,14196427482.8093,17475255536.4969,20821048275.2016,20509020038.1768,21017054277.4202,21002216674.4218,22606812361.9437,23192799452.5558,26940565247.088,33374909767.5225,33302879567.9273,34850876204.3011,32865066160.0459,30284129639.5819,33074962281.1489,31041097905.2332,32520032938.6103,43312326509.8666,58846394250.2394,68723060501.4174,83633397767.7606,97315205908.8366,107770934448.304,82010756673.2621,102974145513.292,123357998501.949,123559478013.303,122157980366.483,116208257485.802,100802826496.631,89948758687.3089,99822924052.9297,109397486251.789,103958421636.197,79013329408.7802,104783662217.955
France,FRA,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,151617717128.542,142933789673.621,128426866586.616,125212890354.372,127385577956.331,132509046255.836,163598668255.738,193443755928.364,215673032711.126,232015952563.148,285334911479.438,289271661957.651,319207509078.733,285421050687.19,306331496171.708,362717041241.79,365375478068.312,366861237025.893,387982971657.585,403178240660.597,390238669734.524,391797875796.132,418705150497.579,485610553980.232,559606270072.317,592887824736.826,650542716762.856,741104539983.27,827364384303.914,665186005058.911,709353195634.283,823711000283.508,795261606816.103,836579789954.485,853502991203.18,777544723906.605,780380655103.695,834697886110.817,915679182185.612,893554682212.983,759609684418.491,921605028661.449
France,FRA,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,154336085741.362,145119159555.688,136070854467.591,125042194322.534,122977316105.696,127656201779.827,154895407887.587,190836783005.423,212641715745.758,228723364498.544,283183467768.019,282575909682.878,297718049908.214,261063970052.491,281236008891.216,333745840205.57,334186085746.715,323336263049.783,345812275120.747,365258177867.576,377318221427.861,373930489484.198,391097799391.069,461568151466.493,542250394117.502,593171066049.782,658695590245.715,759613438548.514,869276966027.986,698019165338.657,752868287730.484,880374278217.064,833079661254.397,867174797835.484,889731847418.982,787378184459.126,793619323216.985,858197178289.032,947879844307.576,919116030732.783,808171724718.452,957530425608.051
Germany,DEU,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,217390721280.087,199702943148.582,201328384012.068,192168326985.666,193092584367.632,207284521373.655,271911130012.629,326101973997.56,358219709688.17,378504982427.942,457349935952.883,443595473504.173,473854706207.23,420758840327.352,467017530589.208,569038991724.86,570763395888.291,560676223536.412,592158590309.007,591028023166.008,599192161993.241,619472567529.327,677921541867.912,821570539407.486,1005137492229.84,1082219937640.7,1242373582882.34,1485139726422.87,1642854037600.95,1301336391468.4,1443337924604.33,1686062777954.46,1629432505631.4,1699810251831.03,1773618260202.99,1575246787584.94,1598254939909.91,1741497554455.71,1881635356580.67,1815993509101.38,1675612437626.03,2003462368306.85
Germany,DEU,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,222272190433.784,194523574441.052,185882541909.817,180826930244.46,178104677784.332,184376543941.669,225767215390.503,270912124664.349,298126669832.143,318960105865.294,411514353856.19,452264883875.729,484583919006.972,419702859302.826,463672380901.439,558503140363.602,552992084410.662,536952196409.883,564542913943.504,578906723978.389,595331405213.263,587784720830.833,589512707039.43,726868558414.755,858964186247.079,933452152898.672,1079887290238.2,1253008779595.75,1413350511853.31,1128569432728.91,1263115070306.35,1501323988015.75,1412443040342.03,1481230369614.31,1515877249009.14,1320209272501.25,1341850736395.29,1480904274542.6,1636899289171.05,1594865390821.35,1454492727209.33,1774553361651.73
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
